Dataset,Index,Stopwords,Parameters,Score,k_1,k_2,k_3,k_max,k_min
article,716,No stopwords,"{'vect__ngram_range': (1, 3), 'clf__metric': 'euclidean', 'vect__stop_words': None, 'vect__max_df': 1.0, 'tfidf__use_idf': True, 'tfidf__norm': 'l1', 'vect__max_features': 5000}",0.580270793,0.57335907,0.58220503,0.58527132,0.58527132,0.57335907
article,717,No stopwords,"{'vect__ngram_range': (1, 3), 'clf__metric': 'cosine', 'vect__stop_words': None, 'vect__max_df': 0.85, 'tfidf__use_idf': True, 'tfidf__norm': 'l1', 'vect__max_features': 5000}",0.580270793,0.57915058,0.57059961,0.59108527,0.59108527,0.57059961
article,718,No stopwords,"{'vect__ngram_range': (1, 2), 'clf__metric': 'cosine', 'vect__stop_words': None, 'vect__max_df': 0.7, 'tfidf__use_idf': False, 'tfidf__norm': 'l2', 'vect__max_features': 5000}",0.580270793,0.57722008,0.56866538,0.59496124,0.59496124,0.56866538
article,710,No stopwords,"{'vect__ngram_range': (1, 3), 'clf__metric': 'l2', 'vect__stop_words': None, 'vect__max_df': 0.85, 'tfidf__use_idf': True, 'tfidf__norm': 'l1', 'vect__max_features': 5000}",0.579626048,0.57528958,0.57446809,0.58914729,0.58914729,0.57446809
article,711,No stopwords,"{'vect__ngram_range': (1, 3), 'clf__metric': 'euclidean', 'vect__stop_words': None, 'vect__max_df': 0.85, 'tfidf__use_idf': True, 'tfidf__norm': 'l1', 'vect__max_features': 5000}",0.579626048,0.57528958,0.57446809,0.58914729,0.58914729,0.57446809
article,712,Stopwords,"{'vect__ngram_range': (1, 1), 'clf__metric': 'cosine', 'vect__stop_words': ['el', 'la', 'de', 'que', 'y', 'a', 'en', 'un', 'ser', 'se', 'no', 'haber', 'por', 'con', 'su', 'para', 'como', 'estar', 'tener', 'le', 'lo', 'lo', 'todo', 'pero', 'mas', 'hacer', 'o', 'decir', 'este', 'ir', 'otro', 'ese', 'la', 'si', 'me', 'ya', 'ver', 'porque', 'dar', 'cuando', 'el', 'muy', 'sin', 'vez', 'mucho', 'saber', 'que', 'sobre', 'mi', 'alguno', 'mismo', 'yo', 'tambien', 'hasta', 'ano', 'dos', 'querer', 'entre', 'asi', 'primero', 'desde', 'grande', 'eso', 'ni', 'nos', 'llegar', 'pasar', 'tiempo', 'ella', 'si', 'dia', 'uno', 'bien', 'poco', 'deber', 'entonces', 'poner', 'cosa', 'tanto', 'hombre', 'parecer', 'nuestro', 'tan', 'donde', 'ahora', 'parte', 'despues', 'vida', 'quedar', 'siempre', 'creer', 'hablar', 'llevar', 'dejar', 'nada', 'cada', 'seguir', 'menos', 'nuevo', 'encontrar', 'dijo', 'los', 'del', 'al', 'las', 'una'], 'vect__max_df': 0.7, 'tfidf__use_idf': True, 'tfidf__norm': 'l1', 'vect__max_features': 5000}",0.579626048,0.58108108,0.57833656,0.57945736,0.58108108,0.57833656
article,713,Stopwords,"{'vect__ngram_range': (1, 1), 'clf__metric': 'cosine', 'vect__stop_words': ['el', 'la', 'de', 'que', 'y', 'a', 'en', 'un', 'ser', 'se', 'no', 'haber', 'por', 'con', 'su', 'para', 'como', 'estar', 'tener', 'le', 'lo', 'lo', 'todo', 'pero', 'mas', 'hacer', 'o', 'decir', 'este', 'ir', 'otro', 'ese', 'la', 'si', 'me', 'ya', 'ver', 'porque', 'dar', 'cuando', 'el', 'muy', 'sin', 'vez', 'mucho', 'saber', 'que', 'sobre', 'mi', 'alguno', 'mismo', 'yo', 'tambien', 'hasta', 'ano', 'dos', 'querer', 'entre', 'asi', 'primero', 'desde', 'grande', 'eso', 'ni', 'nos', 'llegar', 'pasar', 'tiempo', 'ella', 'si', 'dia', 'uno', 'bien', 'poco', 'deber', 'entonces', 'poner', 'cosa', 'tanto', 'hombre', 'parecer', 'nuestro', 'tan', 'donde', 'ahora', 'parte', 'despues', 'vida', 'quedar', 'siempre', 'creer', 'hablar', 'llevar', 'dejar', 'nada', 'cada', 'seguir', 'menos', 'nuevo', 'encontrar', 'dijo', 'los', 'del', 'al', 'las', 'una'], 'vect__max_df': 0.85, 'tfidf__use_idf': True, 'tfidf__norm': 'l1', 'vect__max_features': 5000}",0.579626048,0.58108108,0.57833656,0.57945736,0.58108108,0.57833656
article,714,Stopwords,"{'vect__ngram_range': (1, 1), 'clf__metric': 'cosine', 'vect__stop_words': ['el', 'la', 'de', 'que', 'y', 'a', 'en', 'un', 'ser', 'se', 'no', 'haber', 'por', 'con', 'su', 'para', 'como', 'estar', 'tener', 'le', 'lo', 'lo', 'todo', 'pero', 'mas', 'hacer', 'o', 'decir', 'este', 'ir', 'otro', 'ese', 'la', 'si', 'me', 'ya', 'ver', 'porque', 'dar', 'cuando', 'el', 'muy', 'sin', 'vez', 'mucho', 'saber', 'que', 'sobre', 'mi', 'alguno', 'mismo', 'yo', 'tambien', 'hasta', 'ano', 'dos', 'querer', 'entre', 'asi', 'primero', 'desde', 'grande', 'eso', 'ni', 'nos', 'llegar', 'pasar', 'tiempo', 'ella', 'si', 'dia', 'uno', 'bien', 'poco', 'deber', 'entonces', 'poner', 'cosa', 'tanto', 'hombre', 'parecer', 'nuestro', 'tan', 'donde', 'ahora', 'parte', 'despues', 'vida', 'quedar', 'siempre', 'creer', 'hablar', 'llevar', 'dejar', 'nada', 'cada', 'seguir', 'menos', 'nuevo', 'encontrar', 'dijo', 'los', 'del', 'al', 'las', 'una'], 'vect__max_df': 1.0, 'tfidf__use_idf': True, 'tfidf__norm': 'l1', 'vect__max_features': 5000}",0.579626048,0.58108108,0.57833656,0.57945736,0.58108108,0.57833656
article,703,No stopwords,"{'vect__ngram_range': (1, 4), 'clf__metric': 'l2', 'vect__stop_words': None, 'vect__max_df': 0.7, 'tfidf__use_idf': False, 'tfidf__norm': 'l2', 'vect__max_features': 5000}",0.578981302,0.57528958,0.56866538,0.59302326,0.59302326,0.56866538
article,704,No stopwords,"{'vect__ngram_range': (1, 4), 'clf__metric': 'euclidean', 'vect__stop_words': None, 'vect__max_df': 0.7, 'tfidf__use_idf': False, 'tfidf__norm': 'l2', 'vect__max_features': 5000}",0.578981302,0.57528958,0.56866538,0.59302326,0.59302326,0.56866538
